L,H,Model,RMSE,MAE,Directional_Accuracy,RMSE_STD,N_Windows,N_Val_Total,DM_Stat,P_Value,significant_5pct
10,1,Random Walk,0.02002585241276756,0.014359895388349298,0.5,0.006426388669864907,5,1350,0.0,1.0,False
10,1,ARCH,0.020055995724879983,0.01439509397032097,0.502962962962963,0.006416800792430512,5,1350,-0.4963761840724134,0.6196290248021588,False
10,1,Diffusion,0.02008769160363727,0.014443570608116194,0.49944444444444447,0.006417347782082097,5,1350,-2.3003823398702505,0.021426568453411177,True
10,1,VAR,0.020095488657631333,0.014430846252416838,0.5098148148148148,0.0064165966415825814,5,1350,-0.9431452219616715,0.3456066275819185,False
10,1,Random Forest,0.02012279264877791,0.014356761222381281,0.5192592592592593,0.006576724378072809,5,1350,-2.0151306681431267,0.043890959626869286,True
10,1,AR Linear,0.020160118496603766,0.014484224545456854,0.5111111111111111,0.006468612500380297,5,1350,-1.8900641363146493,0.05874938287006937,False
10,1,Ridge,0.020457542955189145,0.014707064621148019,0.5161111111111112,0.006446535976159481,5,1350,-4.1763859425753145,2.9617714291996222e-05,True
10,1,Historical Mean,0.020931536544451602,0.015182323090694338,0.5031481481481481,0.006558335346424759,5,1350,-3.703107806578979,0.00021297432339051348,True
10,1,GARCH,0.021528889365387195,0.015484226005331675,0.502962962962963,0.0065448474704481695,5,1350,-6.292079191304846,3.1324165483681554e-10,True
10,1,ARIMA,0.02233475565447579,0.016139529346317683,0.49074074074074076,0.005700710101781383,5,1350,-9.982286588966659,0.0,True
10,1,MLP,0.11454582649640603,0.07532989258228064,0.5005555555555555,0.10340275746801461,5,1350,-8.595884369809863,0.0,True
10,5,ARCH,0.046145729817496976,0.03439213939741418,0.49333333333333335,0.014359001549206217,5,1350,1.475246451792359,0.1401462970445322,False
10,5,VAR,0.04617051298034452,0.0344267388941121,0.497037037037037,0.014392964647467008,5,1350,0.8415294748350628,0.4000513798887628,False
10,5,Random Walk,0.046225513522868814,0.034370818464151916,0.5,0.014472271609872519,5,1350,0.0,1.0,False
10,5,Historical Mean,0.04628963905135301,0.034443620506781576,0.5053703703703704,0.014023529652031496,5,1350,0.0821772294980979,0.9345057804194472,False
10,5,AR Linear,0.04629751286050669,0.03441403226411375,0.5064814814814815,0.014470994352172594,5,1350,-0.6734989798233375,0.5006298975693368,False
10,5,Random Forest,0.046409364274411405,0.034455517264625646,0.5303703703703704,0.014357460032387376,5,1350,-0.48374264381880305,0.6285685250042563,False
10,5,GARCH,0.04652629215315234,0.03482033953324053,0.49333333333333335,0.014085325346228911,5,1350,-0.7491199392383295,0.4537849181243687,False
10,5,Ridge,0.0467785843704405,0.034652088977971715,0.5398148148148149,0.014712924293408734,5,1350,-1.3442071896994805,0.17888139738161835,False
10,5,ARIMA,0.04716698831814641,0.035115412873300354,0.5127777777777778,0.013694300822843505,5,1350,-4.218321574075969,2.4612762610676242e-05,True
10,5,Diffusion,0.04725826509093331,0.035098993792688174,0.4920370370370371,0.01430540143986976,5,1350,-3.3724031945588147,0.0007451527620945253,True
10,5,MLP,0.1162026018970663,0.0827693162760523,0.48962962962962964,0.07126987013536396,5,1350,-6.088856445107571,1.1372003339005232e-09,True
21,1,Random Walk,0.020058252176159867,0.014395086604798052,0.5,0.0064724056014677555,5,1345,0.0,1.0,False
21,1,ARCH,0.020089066696774082,0.014433952360221946,0.5020446096654275,0.00646225428034789,5,1345,-0.5048303861487666,0.6136779716992595,False
21,1,VAR,0.020132683471147744,0.014474221055284536,0.508364312267658,0.006463659633095364,5,1345,-1.0105769758540109,0.31221894018811547,False
21,1,Diffusion,0.02016982826688803,0.014505016276721561,0.4973977695167286,0.006453221002184789,5,1345,-3.658002481851271,0.00025418858608872164,True
21,1,Random Forest,0.020178904285627495,0.014422773684468032,0.5096654275092937,0.006614235595605781,5,1345,-2.7828217054797197,0.005388841086970908,True
21,1,AR Linear,0.020198297502800035,0.014524013914075729,0.5109665427509293,0.006523660369432423,5,1345,-2.0088512125483615,0.04455291520441507,True
21,1,Historical Mean,0.020546494204345362,0.014839396587421883,0.507806691449814,0.0066260499040152465,5,1345,-3.0213392899300846,0.0025165919253504754,True
21,1,Ridge,0.020910192495751993,0.015084569707933839,0.5026022304832714,0.006763883367778171,5,1345,-7.276219246474455,3.432809592140984e-13,True
21,1,GARCH,0.021564429511003225,0.015526632217213893,0.5020446096654275,0.00658612113029619,5,1345,-6.295472515743194,3.064648534945036e-10,True
21,1,ARIMA,0.022315404623081292,0.016154642443802943,0.4951672862453532,0.005782299102529321,5,1345,-9.775602564222355,0.0,True
21,1,MLP,0.18237525300707355,0.13073925431858507,0.5016728624535316,0.13212175007531246,5,1345,-13.207498532769833,0.0,True
21,5,ARCH,0.04618414893327015,0.03448224922122811,0.49253731343283585,0.014674388933812763,5,1340,1.4698288782389322,0.14160810576712635,False
21,5,VAR,0.04621051888789376,0.03451795891210721,0.4966417910447761,0.014705460381162128,5,1340,0.8318528211202182,0.4054920247224134,False
21,5,Random Walk,0.046264322315700865,0.0344622100279971,0.5,0.014786475771919882,5,1340,0.0,1.0,False
21,5,AR Linear,0.04632822346062862,0.03450705529965512,0.5078358208955225,0.014750456817994733,5,1340,-0.5113788694571236,0.6090857881381269,False
21,5,Diffusion,0.046418059400128914,0.03434331534990342,0.5444029850746268,0.015216517714021688,5,1340,-0.98060245846609,0.32678882151129973,False
21,5,Historical Mean,0.04650112894242591,0.03459802038272215,0.5110074626865672,0.014727404500888002,5,1340,-0.5930749184757425,0.5531310150944977,False
21,5,GARCH,0.04656981399129439,0.03490658906692279,0.49253731343283585,0.014404305151921485,5,1340,-0.7558869989116114,0.44971694952278396,False
21,5,Random Forest,0.046604519192580206,0.034708930811495294,0.4878731343283582,0.014650453296381991,5,1340,-1.1871388374499063,0.23517286129764203,False
21,5,ARIMA,0.047236917490599786,0.03522761514564443,0.5076492537313433,0.013981239782669597,5,1340,-4.249359758928141,2.1438237614246347e-05,True
21,5,Ridge,0.048207552108907856,0.03582666335502731,0.5197761194029851,0.015985308588837892,5,1340,-3.8613771354831643,0.00011274970767116699,True
21,5,MLP,0.19630586404043515,0.14148966856036085,0.505223880597015,0.1161053607297724,5,1340,-7.888828665116064,3.1086244689504383e-15,True
42,1,Random Walk,0.02012818224248575,0.01445953744991857,0.5,0.006624385709925062,5,1330,0.0,1.0,False
42,1,ARCH,0.02015544101612266,0.014491845930942212,0.5048872180451128,0.006610822307322363,5,1330,-0.4238911728343511,0.6716451820383806,False
42,1,VAR,0.02020711690362897,0.014535645480206158,0.5084586466165414,0.006606212552586253,5,1330,-1.0366527678258568,0.2998977116635193,False
42,1,Random Forest,0.020213438570196793,0.014475054196682777,0.5030075187969925,0.006716297919304771,5,1330,-2.258163065343552,0.023935495013082786,True
42,1,AR Linear,0.020271185503552922,0.01459346890790408,0.5092105263157894,0.0066848080768905065,5,1330,-2.0739930873463472,0.0380799528588871,True
42,1,Diffusion,0.020286625408153805,0.014620439367508767,0.4842105263157895,0.006646153829032515,5,1330,-4.235554657119841,2.2798823687386616e-05,True
42,1,Historical Mean,0.020346086113645155,0.014655486818105343,0.5026315789473684,0.0066620293409505715,5,1330,-2.2159471206848673,0.026695123872217286,True
42,1,Ridge,0.02147653525942632,0.015588523405228377,0.5084586466165414,0.007002020586019204,5,1330,-9.82888878321608,0.0,True
42,1,GARCH,0.02161468485938125,0.01558101695649139,0.5048872180451128,0.006721115624514134,5,1330,-6.208721782737658,5.341729281127527e-10,True
42,1,ARIMA,0.022375656906766062,0.016224166085841655,0.4883458646616542,0.00590043765700297,5,1330,-10.007973470329965,0.0,True
42,1,MLP,0.30815619226736934,0.2296171569036205,0.48890977443609024,0.17876550087699333,5,1330,-21.922663309667048,0.0,True
42,5,ARCH,0.04638330835508206,0.03467004009241163,0.4956766917293233,0.014808377978419182,5,1330,1.4892575180653012,0.1364195698126609,False
42,5,VAR,0.04641614350138466,0.03471102765109298,0.4943609022556391,0.01483416775068126,5,1330,0.7831362818314992,0.43354708730875124,False
42,5,Random Walk,0.04646280236599686,0.03464986015119391,0.5,0.014924340766899706,5,1330,0.0,1.0,False
42,5,Historical Mean,0.04651819654549478,0.03467520849875449,0.5028195488721805,0.014800570744679192,5,1330,-0.11003172735802737,0.9123842128821475,False
42,5,AR Linear,0.0465332298578171,0.03469004995090888,0.5073308270676692,0.014905724935185456,5,1330,-0.6261198625198322,0.5312363250676841,False
42,5,GARCH,0.046769572659947016,0.03509634029662306,0.4956766917293233,0.01452800145912072,5,1330,-0.7527266555551296,0.4516141886756406,False
42,5,Random Forest,0.046949666667896746,0.03508147694164383,0.4870300751879699,0.014817402530049525,5,1330,-2.1080576395280235,0.03502600397848754,True
42,5,Diffusion,0.046960129570493295,0.034742256720687016,0.5340225563909774,0.015177366752544379,5,1330,-1.4898566712979886,0.13626192635657564,False
42,5,ARIMA,0.047311367354038805,0.03534207057648617,0.49793233082706767,0.014201267887349836,5,1330,-3.6630601146161563,0.00024922002146632316,True
42,5,Ridge,0.05001592336763876,0.037279738866611914,0.5069548872180452,0.01676471491354746,5,1330,-5.18938785639379,2.1098652291939857e-07,True
42,5,MLP,0.2981039314513215,0.2208114804504771,0.49943609022556396,0.1763385059155924,5,1330,-9.633172467134939,0.0,True
