L,H,window_id,model,regime,n_eval,RMSE,MAE,Directional_Accuracy
10,1,0,Random Walk,low_vol,60,0.01501809877213952,0.011042243329536626,0.016666666666666666
10,1,0,Random Walk,high_vol,210,0.03448519213793193,0.02218731516380727,0.004761904761904762
10,1,0,Historical Mean,low_vol,60,0.015457062992647012,0.011743023384154618,0.475
10,1,0,Historical Mean,high_vol,210,0.035766118736009433,0.02328858103727972,0.5178571428571429
10,1,0,AR Linear,low_vol,60,0.014995743030772205,0.011047679046179076,0.5
10,1,0,AR Linear,high_vol,210,0.034710977268439254,0.02249983343893669,0.5059523809523809
10,1,0,ARIMA,low_vol,60,0.015271118929067693,0.011309219314138284,0.44583333333333336
10,1,0,ARIMA,high_vol,210,0.03562996335963553,0.022926635231141794,0.5190476190476191
10,1,0,ARCH,low_vol,60,0.01497369430341949,0.01108755885624268,0.475
10,1,0,ARCH,high_vol,210,0.03448201410325232,0.02231029000205729,0.5119047619047619
10,1,0,GARCH,low_vol,60,0.015308234835887826,0.01159862224089597,0.475
10,1,0,GARCH,high_vol,210,0.036253797796726314,0.02368175310912557,0.5119047619047619
10,1,0,VAR,low_vol,60,0.015122912399535728,0.011230620251774872,0.43333333333333335
10,1,0,VAR,high_vol,210,0.034514346712424766,0.022298436622699418,0.5273809523809524
10,1,0,Ridge,low_vol,60,0.014666195714651276,0.010722430745175256,0.5708333333333333
10,1,0,Ridge,high_vol,210,0.03502727360105174,0.02252951204572387,0.5380952380952381
10,1,0,MLP,low_vol,60,0.12002307182798093,0.09145588262621304,0.5125
10,1,0,MLP,high_vol,210,0.3328129301224289,0.20465113471492247,0.5035714285714286
10,1,0,Random Forest,low_vol,60,0.015093713308821338,0.011145605470595722,0.5458333333333333
10,1,0,Random Forest,high_vol,210,0.03490236328425583,0.022216175328749976,0.5083333333333333
10,1,0,Diffusion,low_vol,60,0.01488251909632511,0.010992562695374731,0.5208333333333334
10,1,0,Diffusion,high_vol,210,0.03449663651784192,0.02226478413941508,0.4738095238095238
10,1,1,Random Walk,low_vol,76,0.015920545013895546,0.011913075636089364,0.006578947368421052
10,1,1,Random Walk,high_vol,194,0.017103686622015068,0.012841662010906557,0.007731958762886598
10,1,1,Historical Mean,low_vol,76,0.016707635320273577,0.012499713046488956,0.46710526315789475
10,1,1,Historical Mean,high_vol,194,0.018083251991690995,0.013662909432132738,0.5167525773195877
10,1,1,AR Linear,low_vol,76,0.01572565443169709,0.011823227498611965,0.5493421052631579
10,1,1,AR Linear,high_vol,194,0.017143276652338297,0.012752170107396033,0.5592783505154639
10,1,1,ARIMA,low_vol,76,0.018272019312279515,0.013602654644265789,0.5098684210526315
10,1,1,ARIMA,high_vol,194,0.02156961147989876,0.016097294704201064,0.4845360824742268
10,1,1,ARCH,low_vol,76,0.015777112401912985,0.011781485963901939,0.5394736842105263
10,1,1,ARCH,high_vol,194,0.017047211671302756,0.012760875031220429,0.5128865979381443
10,1,1,GARCH,low_vol,76,0.016357396144225815,0.01236193331349077,0.5394736842105263
10,1,1,GARCH,high_vol,194,0.01853927534431791,0.013914929268050595,0.5128865979381443
10,1,1,VAR,low_vol,76,0.015817549118884628,0.011791732788730375,0.5361842105263158
10,1,1,VAR,high_vol,194,0.01709097029059003,0.012800196599253107,0.5231958762886598
10,1,1,Ridge,low_vol,76,0.01562787348811223,0.011697503383370916,0.5460526315789473
10,1,1,Ridge,high_vol,194,0.017837814758587898,0.01346675764320731,0.5012886597938144
10,1,1,MLP,low_vol,76,0.062468622270367084,0.04728701865541959,0.4769736842105263
10,1,1,MLP,high_vol,194,0.08063654982389029,0.0608020085972578,0.49871134020618557
10,1,1,Random Forest,low_vol,76,0.01593142633756977,0.011906901330177085,0.5098684210526315
10,1,1,Random Forest,high_vol,194,0.01721265591458719,0.012850010739112076,0.5360824742268041
10,1,1,Diffusion,low_vol,76,0.015835307360821237,0.011968679755895134,0.506578947368421
10,1,1,Diffusion,high_vol,194,0.017144310863802713,0.012971795408487767,0.49226804123711343
10,1,2,Random Walk,low_vol,78,0.01579274288480038,0.011765794012555609,0.00641025641025641
10,1,2,Random Walk,high_vol,192,0.01820162718991959,0.013470378108520736,0.0078125
10,1,2,Historical Mean,low_vol,78,0.0165613449228971,0.012345983969620269,0.5160256410256411
10,1,2,Historical Mean,high_vol,192,0.01898326638625312,0.01426414220889519,0.5013020833333334
10,1,2,AR Linear,low_vol,78,0.015875635808541188,0.011834440766380763,0.5064102564102564
10,1,2,AR Linear,high_vol,192,0.018288708872392638,0.013572865244499974,0.515625
10,1,2,ARIMA,low_vol,78,0.017849689887092922,0.01347019265314731,0.5096153846153846
10,1,2,ARIMA,high_vol,192,0.02078394531125367,0.015808572319307754,0.4661458333333333
10,1,2,ARCH,low_vol,78,0.01592617568336555,0.011841584855890777,0.49038461538461536
10,1,2,ARCH,high_vol,192,0.018226668425892045,0.01347395468973097,0.5013020833333334
10,1,2,GARCH,low_vol,78,0.017242691908298607,0.012842798264826719,0.49038461538461536
10,1,2,GARCH,high_vol,192,0.019778850962285825,0.014664672923227989,0.5013020833333334
10,1,2,VAR,low_vol,78,0.01604477128002569,0.011942997905546104,0.5128205128205128
10,1,2,VAR,high_vol,192,0.018238817727294278,0.013488871482835474,0.53515625
10,1,2,Ridge,low_vol,78,0.015987466883944753,0.011852490289536978,0.5480769230769231
10,1,2,Ridge,high_vol,192,0.018721507550212298,0.014026393710972862,0.4986979166666667
10,1,2,MLP,low_vol,78,0.0650505928751391,0.048714786369467716,0.5064102564102564
10,1,2,MLP,high_vol,192,0.08209783210480534,0.05992265153693721,0.4856770833333333
10,1,2,Random Forest,low_vol,78,0.015821380790124476,0.011767522711291797,0.46474358974358976
10,1,2,Random Forest,high_vol,192,0.0183991913497171,0.0135836514178619,0.5078125
10,1,2,Diffusion,low_vol,78,0.015913955552834647,0.01183934168510402,0.47115384615384615
10,1,2,Diffusion,high_vol,192,0.018222116774225486,0.013491365339896477,0.4869791666666667
10,1,3,Random Walk,low_vol,40,0.015141639112447675,0.011799781780315068,0.0
10,1,3,Random Walk,high_vol,230,0.019936781348667495,0.015291700910654748,0.004347826086956522
10,1,3,Historical Mean,low_vol,40,0.015740440244961306,0.012646504289145911,0.49375
10,1,3,Historical Mean,high_vol,230,0.020827925073201737,0.016184647124278282,0.5076086956521739
10,1,3,AR Linear,low_vol,40,0.01558169525516068,0.012224371272902518,0.45
10,1,3,AR Linear,high_vol,230,0.02017126583222155,0.015551973544688617,0.4923913043478261
10,1,3,ARIMA,low_vol,40,0.016347178374916935,0.012941556053851553,0.53125
10,1,3,ARIMA,high_vol,230,0.021878070249766894,0.01723552371557791,0.4891304347826087
10,1,3,ARCH,low_vol,40,0.015397949938291203,0.012072718917530353,0.4625
10,1,3,ARCH,high_vol,230,0.02006492436228732,0.015418964955406808,0.5032608695652174
10,1,3,GARCH,low_vol,40,0.017109568825058964,0.013139048680705583,0.4625
10,1,3,GARCH,high_vol,230,0.02206817484881822,0.016842654876815015,0.5032608695652174
10,1,3,VAR,low_vol,40,0.015600693822440158,0.012259793926178219,0.475
10,1,3,VAR,high_vol,230,0.02006084181809592,0.015442185692574172,0.4934782608695652
10,1,3,Ridge,low_vol,40,0.015544838647413229,0.012108865140290232,0.425
10,1,3,Ridge,high_vol,230,0.020510508219465453,0.015826561509676082,0.4945652173913043
10,1,3,MLP,low_vol,40,0.042292716898885765,0.03210428349292716,0.475
10,1,3,MLP,high_vol,230,0.06233221920920347,0.047525829168787614,0.4989130434782609
10,1,3,Random Forest,low_vol,40,0.01507454332714595,0.011708889232364508,0.54375
10,1,3,Random Forest,high_vol,230,0.01989856806162632,0.015212605931009465,0.5271739130434783
10,1,3,Diffusion,low_vol,40,0.015229636376401597,0.011949139659811604,0.4625
10,1,3,Diffusion,high_vol,230,0.020252545656349225,0.015613313740731766,0.5054347826086957
10,1,4,Random Walk,low_vol,112,0.014738700579853508,0.011368343510789658,0.006696428571428571
10,1,4,Random Walk,high_vol,158,0.015656561026346553,0.012031204607305102,0.007911392405063292
10,1,4,Historical Mean,low_vol,112,0.01564748709410356,0.012240503792280755,0.45535714285714285
10,1,4,Historical Mean,high_vol,158,0.0164223727857821,0.012654447098537254,0.5205696202531646
10,1,4,AR Linear,low_vol,112,0.015054199703494347,0.011644811645957369,0.44642857142857145
10,1,4,AR Linear,high_vol,158,0.015710160785379786,0.011988398122952933,0.5300632911392406
10,1,4,ARIMA,low_vol,112,0.01624300229892585,0.01243866877770049,0.4732142857142857
10,1,4,ARIMA,high_vol,158,0.018520747298865697,0.013782636851073265,0.4936708860759494
10,1,4,ARCH,low_vol,112,0.014837781667814319,0.011457442928025734,0.5022321428571429
10,1,4,ARCH,high_vol,158,0.01566023056241972,0.01195450959013872,0.49050632911392406
10,1,4,GARCH,low_vol,112,0.01589158737339003,0.012105412782059002,0.5022321428571429
10,1,4,GARCH,high_vol,158,0.016798501139234083,0.012804317364544137,0.49050632911392406
10,1,4,VAR,low_vol,112,0.014898730840229147,0.01151032006411603,0.5044642857142857
10,1,4,VAR,high_vol,158,0.015703721498551787,0.01198136853059217,0.49050632911392406
10,1,4,Ridge,low_vol,112,0.01535466556916943,0.011933555112051901,0.5401785714285714
10,1,4,Ridge,high_vol,158,0.01570409842973237,0.0120243598977297,0.5126582278481012
10,1,4,MLP,low_vol,112,0.06399195257333024,0.03818497745876704,0.5044642857142857
10,1,4,MLP,high_vol,158,0.057899448351441014,0.038260308207986524,0.5268987341772152
10,1,4,Random Forest,low_vol,112,0.01472992111190858,0.011347209533022201,0.5401785714285714
10,1,4,Random Forest,high_vol,158,0.015534710518628694,0.01193416249129621,0.5158227848101266
10,1,4,Diffusion,low_vol,112,0.014733535758246487,0.01131283658776924,0.5178571428571429
10,1,4,Diffusion,high_vol,158,0.01561303175235033,0.011947073911223991,0.5474683544303798
10,5,0,Random Walk,low_vol,58,0.039492662072351,0.029283896585278874,0.0
10,5,0,Random Walk,high_vol,212,0.07752327418508481,0.05071301630685776,0.0
10,5,0,Historical Mean,low_vol,58,0.03959641292302373,0.02959113375255244,0.4827586206896552
10,5,0,Historical Mean,high_vol,212,0.07671067091684787,0.050584138950938405,0.5283018867924528
10,5,0,AR Linear,low_vol,58,0.03947554070349636,0.029152940807365402,0.5258620689655172
10,5,0,AR Linear,high_vol,212,0.07764445786739313,0.05075856607621303,0.5247641509433962
10,5,0,ARIMA,low_vol,58,0.039981353395268024,0.029666744413351674,0.4525862068965517
10,5,0,ARIMA,high_vol,212,0.07691327120560978,0.05057457132959558,0.5283018867924528
10,5,0,ARCH,low_vol,58,0.03940996776895224,0.029206901724425097,0.5344827586206896
10,5,0,ARCH,high_vol,212,0.07719649003800709,0.05067625224889928,0.5047169811320755
10,5,0,GARCH,low_vol,58,0.039342436665194505,0.02919229280073747,0.5344827586206896
10,5,0,GARCH,high_vol,212,0.07701584101614421,0.05104409128993072,0.5047169811320755
10,5,0,VAR,low_vol,58,0.039646147695006385,0.02934509759645683,0.47844827586206895
10,5,0,VAR,high_vol,212,0.0772983351910628,0.05075352843583373,0.5035377358490566
10,5,0,Ridge,low_vol,58,0.03896005948348079,0.02913544915563158,0.5732758620689655
10,5,0,Ridge,high_vol,212,0.07857015756794852,0.05078405571318326,0.5707547169811321
10,5,0,MLP,low_vol,58,0.11813023597753675,0.08491840316393431,0.47413793103448276
10,5,0,MLP,high_vol,212,0.2652446270642277,0.17364141165918506,0.4893867924528302
10,5,0,Random Forest,low_vol,58,0.03917174911227289,0.029112302509338106,0.5646551724137931
10,5,0,Random Forest,high_vol,212,0.07750072623863037,0.049858905112065234,0.5719339622641509
10,5,0,Diffusion,low_vol,58,0.03976870887077221,0.029445480181894194,0.4956896551724138
10,5,0,Diffusion,high_vol,212,0.07765733547750829,0.050061275593375254,0.5672169811320755
10,5,1,Random Walk,low_vol,76,0.03249667575996068,0.02560476898649093,0.0
10,5,1,Random Walk,high_vol,194,0.03967345103280067,0.030616378248025163,0.0
10,5,1,Historical Mean,low_vol,76,0.033465416786237386,0.026461990870647642,0.40131578947368424
10,5,1,Historical Mean,high_vol,194,0.03992961161672581,0.03067431605186739,0.5193298969072165
10,5,1,AR Linear,low_vol,76,0.032614967730153765,0.02570105602776998,0.5296052631578947
10,5,1,AR Linear,high_vol,194,0.03992759532742761,0.03079238660768931,0.5025773195876289
10,5,1,ARIMA,low_vol,76,0.033694841065632905,0.02614105546725992,0.5394736842105263
10,5,1,ARIMA,high_vol,194,0.04136006878942627,0.03207258937879092,0.5077319587628866
10,5,1,ARCH,low_vol,76,0.03250259897382642,0.025625505302929185,0.506578947368421
10,5,1,ARCH,high_vol,194,0.03961988699445414,0.030584654843188543,0.49355670103092786
10,5,1,GARCH,low_vol,76,0.033006879268386954,0.025980121001373317,0.506578947368421
10,5,1,GARCH,high_vol,194,0.04018730510321192,0.030960140274870217,0.49355670103092786
10,5,1,VAR,low_vol,76,0.032449214401813635,0.025663856103885697,0.506578947368421
10,5,1,VAR,high_vol,194,0.03980200258821878,0.030739901942585406,0.47680412371134023
10,5,1,Ridge,low_vol,76,0.03155992990429596,0.024494357977077594,0.6151315789473685
10,5,1,Ridge,high_vol,194,0.03927420150056817,0.030010015212362785,0.5850515463917526
10,5,1,MLP,low_vol,76,0.08850741243477504,0.06962642259271495,0.5427631578947368
10,5,1,MLP,high_vol,194,0.11243344148525353,0.09003654970559023,0.49355670103092786
10,5,1,Random Forest,low_vol,76,0.032383389310811694,0.02551405914139899,0.5427631578947368
10,5,1,Random Forest,high_vol,194,0.03971366792147964,0.030600584745771098,0.5541237113402062
10,5,1,Diffusion,low_vol,76,0.032294985019195206,0.026122686964996422,0.5394736842105263
10,5,1,Diffusion,high_vol,194,0.04113645054460946,0.031721984447864275,0.43427835051546393
10,5,2,Random Walk,low_vol,78,0.035994325020388934,0.027571116840460264,0.0
10,5,2,Random Walk,high_vol,192,0.04273861292122308,0.033499246098605724,0.0
10,5,2,Historical Mean,low_vol,78,0.036191915160800545,0.028001115563760465,0.44551282051282054
10,5,2,Historical Mean,high_vol,192,0.042468334043094524,0.03292898833019039,0.5611979166666666
10,5,2,AR Linear,low_vol,78,0.036192957108617634,0.027932628042872484,0.4519230769230769
10,5,2,AR Linear,high_vol,192,0.04261509053497631,0.03330799276752008,0.5377604166666666
10,5,2,ARIMA,low_vol,78,0.03685058237644714,0.028083247525616074,0.5416666666666666
10,5,2,ARIMA,high_vol,192,0.04401702284702877,0.034548668481785234,0.5052083333333334
10,5,2,ARCH,low_vol,78,0.03611439260088827,0.027753397875452755,0.46794871794871795
10,5,2,ARCH,high_vol,192,0.0426869852617178,0.0334793763264286,0.5091145833333334
10,5,2,GARCH,low_vol,78,0.036893764087070596,0.028422105847387354,0.46794871794871795
10,5,2,GARCH,high_vol,192,0.04318500641922654,0.033959271522627454,0.5091145833333334
10,5,2,VAR,low_vol,78,0.03628707580737954,0.02795131866869625,0.41346153846153844
10,5,2,VAR,high_vol,192,0.042622187346557795,0.03347527948361354,0.5182291666666666
10,5,2,Ridge,low_vol,78,0.035929959270983615,0.027050980446609977,0.5673076923076923
10,5,2,Ridge,high_vol,192,0.042996281074763665,0.03354158949825608,0.5481770833333334
10,5,2,MLP,low_vol,78,0.056457117494167895,0.04439689933182528,0.5
10,5,2,MLP,high_vol,192,0.09371138856549731,0.07344512577837167,0.5026041666666666
10,5,2,Random Forest,low_vol,78,0.036147063230125044,0.027622726848519914,0.5224358974358975
10,5,2,Random Forest,high_vol,192,0.04332524486492591,0.03406071530152759,0.5221354166666666
10,5,2,Diffusion,low_vol,78,0.03699127477240922,0.0279579517715708,0.5032051282051282
10,5,2,Diffusion,high_vol,192,0.04350955358490394,0.03401163000047483,0.4986979166666667
10,5,3,Random Walk,low_vol,39,0.03855990625684346,0.03019052625830884,0.0
10,5,3,Random Walk,high_vol,231,0.047221904992290245,0.03773161383623521,0.0
10,5,3,Historical Mean,low_vol,39,0.038295450555553244,0.03044516769743952,0.48717948717948717
10,5,3,Historical Mean,high_vol,231,0.04743402826214662,0.03768722349374628,0.512987012987013
10,5,3,AR Linear,low_vol,39,0.03846849063516589,0.030237720024712905,0.44871794871794873
10,5,3,AR Linear,high_vol,231,0.047221854904361815,0.037764606315910526,0.5075757575757576
10,5,3,ARIMA,low_vol,39,0.039709289460015576,0.03101296649091343,0.46153846153846156
10,5,3,ARIMA,high_vol,231,0.048386259520116055,0.03868550968032604,0.512987012987013
10,5,3,ARCH,low_vol,39,0.03867752986842265,0.03033410579788716,0.5128205128205128
10,5,3,ARCH,high_vol,231,0.04716216876719034,0.037788805286221444,0.47186147186147187
10,5,3,GARCH,low_vol,39,0.03944343249193433,0.03092564856019335,0.5128205128205128
10,5,3,GARCH,high_vol,231,0.0477081053257583,0.038315975339003355,0.47186147186147187
10,5,3,VAR,low_vol,39,0.03869197787699856,0.03038826617903298,0.46153846153846156
10,5,3,VAR,high_vol,231,0.04704270455204039,0.03768346917271698,0.5183982683982684
10,5,3,Ridge,low_vol,39,0.037538907236450106,0.029250698460432024,0.5769230769230769
10,5,3,Ridge,high_vol,231,0.048804692992294584,0.03910568975191145,0.4556277056277056
10,5,3,MLP,low_vol,39,0.04997948037668664,0.03913013184690889,0.48717948717948717
10,5,3,MLP,high_vol,231,0.07109271882388384,0.05611381914832568,0.48917748917748916
10,5,3,Random Forest,low_vol,39,0.038039780448634174,0.029815563236625934,0.6602564102564102
10,5,3,Random Forest,high_vol,231,0.04758113308636276,0.03819010901674163,0.49567099567099565
10,5,3,Diffusion,low_vol,39,0.04010248704869034,0.03103576102677834,0.4423076923076923
10,5,3,Diffusion,high_vol,231,0.050360175451472665,0.04041302002414445,0.43722943722943725
10,5,4,Random Walk,low_vol,111,0.036233089500067726,0.029025349550221693,0.0
10,5,4,Random Walk,high_vol,159,0.03458060355348104,0.027470378362941406,0.0
10,5,4,Historical Mean,low_vol,111,0.037037440560456776,0.029883986293254866,0.42117117117117114
10,5,4,Historical Mean,high_vol,159,0.03497866433366281,0.02754811590880477,0.529874213836478
10,5,4,AR Linear,low_vol,111,0.03644661038604737,0.02915699513422835,0.4774774774774775
10,5,4,AR Linear,high_vol,159,0.03458007877380299,0.027465739138494143,0.49056603773584906
10,5,4,ARIMA,low_vol,111,0.03688013776425633,0.02965113492816402,0.5247747747747747
10,5,4,ARIMA,high_vol,159,0.03631733606626677,0.028261336253343795,0.5062893081761006
10,5,4,ARCH,low_vol,111,0.036251935308912825,0.029067369146420913,0.5112612612612613
10,5,4,ARCH,high_vol,159,0.034524513189334874,0.027544236199230014,0.4638364779874214
10,5,4,GARCH,low_vol,111,0.03663748681280071,0.029412940815654542,0.5112612612612613
10,5,4,GARCH,high_vol,159,0.03489199902092851,0.02800735980126901,0.4638364779874214
10,5,4,VAR,low_vol,111,0.03627144853646712,0.029027338964356112,0.5337837837837838
10,5,4,VAR,high_vol,159,0.03449419548119291,0.02755235770671489,0.4827044025157233
